Majority protein IDs	protein_ID
XP_001925390.4;XP_013838239.1;XP_005670643.1;XP_013838237.1	XP_005670643.1
XP_001925390.4;XP_013838239.1;XP_005670643.1;XP_013838237.1	XP_013838237.1
XP_001925399.1;XP_003129998.3;XP_020945584.1	XP_001925399.1
XP_001925399.1;XP_003129998.3;XP_020945584.1	XP_003129998.3
XP_001925399.1;XP_003129998.3;XP_020945584.1	XP_020945584.1
XP_001925420.4;XP_013840041.1	XP_001925420.4
XP_001925420.4;XP_013840041.1	XP_013840041.1
XP_020946438.1;XP_001925514.4	XP_020946438.1
XP_020946438.1;XP_001925514.4	XP_001925514.4
XP_001925589.5;XP_020929371.1;XP_020929364.1;XP_005659686.2;XP_013848481.2;XP_003121567.4;XP_005659685.2;XP_020929361.1	XP_020929371.1
XP_001925589.5;XP_020929371.1;XP_020929364.1;XP_005659686.2;XP_013848481.2;XP_003121567.4;XP_005659685.2;XP_020929361.1	XP_020929364.1
XP_001925589.5;XP_020929371.1;XP_020929364.1;XP_005659686.2;XP_013848481.2;XP_003121567.4;XP_005659685.2;XP_020929361.1	XP_005659686.2
XP_001925589.5;XP_020929371.1;XP_020929364.1;XP_005659686.2;XP_013848481.2;XP_003121567.4;XP_005659685.2;XP_020929361.1	XP_013848481.2
XP_001925589.5;XP_020929371.1;XP_020929364.1;XP_005659686.2;XP_013848481.2;XP_003121567.4;XP_005659685.2;XP_020929361.1	XP_020929361.1
XP_005652655.1;XP_003355646.1;XP_003126576.1;XP_001925656.2	XP_005652655.1
XP_005652655.1;XP_003355646.1;XP_003126576.1;XP_001925656.2	XP_003355646.1
XP_005652655.1;XP_003355646.1;XP_003126576.1;XP_001925656.2	XP_003126576.1
XP_005652655.1;XP_003355646.1;XP_003126576.1;XP_001925656.2	XP_001925656.2
XP_001925705.4	XP_001925705.4
XP_001925742.2;XP_020933799.1	XP_001925742.2
XP_001925742.2;XP_020933799.1	XP_020933799.1
XP_001925819.3;XP_003355644.1;XP_020948070.1	XP_001925819.3
XP_001925819.3;XP_003355644.1;XP_020948070.1	XP_003355644.1
XP_001925819.3;XP_003355644.1;XP_020948070.1	XP_020948070.1
XP_001925937.3	XP_001925937.3
XP_001925948.1	XP_001925948.1
XP_013839531.1;XP_005671831.1;XP_005671830.1;XP_001925958.2	XP_013839531.1
XP_013839531.1;XP_005671831.1;XP_005671830.1;XP_001925958.2	XP_005671831.1
XP_013839531.1;XP_005671831.1;XP_005671830.1;XP_001925958.2	XP_005671830.1
XP_013839531.1;XP_005671831.1;XP_005671830.1;XP_001925958.2	XP_001925958.2
XP_013839835.1;XP_005672126.1;XP_005672125.1;XP_005672124.1;XP_001926016.1;XP_001925960.1	XP_013839835.1
XP_013839835.1;XP_005672126.1;XP_005672125.1;XP_005672124.1;XP_001926016.1;XP_001925960.1	XP_005672126.1
XP_013839835.1;XP_005672126.1;XP_005672125.1;XP_005672124.1;XP_001926016.1;XP_001925960.1	XP_005672125.1
XP_013839835.1;XP_005672126.1;XP_005672125.1;XP_005672124.1;XP_001926016.1;XP_001925960.1	XP_005672124.1
XP_013839835.1;XP_005672126.1;XP_005672125.1;XP_005672124.1;XP_001926016.1;XP_001925960.1	XP_001926016.1
XP_001925971.4	XP_001925971.4
XP_005657902.1;XP_001926000.1	XP_005657902.1
XP_005657902.1;XP_001926000.1	XP_001926000.1
XP_001926034.2;XP_005657447.1;XP_020929421.1	XP_001926034.2
XP_001926034.2;XP_005657447.1;XP_020929421.1	XP_005657447.1
XP_001926034.2;XP_005657447.1;XP_020929421.1	XP_020929421.1
XP_020925746.1;XP_020925745.1;XP_001926098.2	XP_020925746.1
XP_020925746.1;XP_020925745.1;XP_001926098.2	XP_020925745.1
XP_020925746.1;XP_020925745.1;XP_001926098.2	XP_001926098.2
XP_005660570.2;XP_001926112.3;XP_020925618.1	XP_005660570.2
XP_005660570.2;XP_001926112.3;XP_020925618.1	XP_001926112.3
XP_005660570.2;XP_001926112.3;XP_020925618.1	XP_020925618.1
XP_020944897.1;XP_020944896.1;XP_001926150.2	XP_020944897.1
XP_020944897.1;XP_020944896.1;XP_001926150.2	XP_020944896.1
XP_020944897.1;XP_020944896.1;XP_001926150.2	XP_001926150.2
XP_001926164.2	XP_001926164.2
XP_005664105.1;XP_001926213.3;XP_020947956.1;XP_005664106.1	XP_005664105.1
XP_005664105.1;XP_001926213.3;XP_020947956.1;XP_005664106.1	XP_001926213.3
XP_005664105.1;XP_001926213.3;XP_020947956.1;XP_005664106.1	XP_020947956.1
XP_005664105.1;XP_001926213.3;XP_020947956.1;XP_005664106.1	XP_005664106.1
XP_001926332.2	XP_001926332.2
XP_001926413.2	XP_001926413.2
XP_001926511.1	XP_001926511.1
XP_001926622.4	XP_001926622.4
XP_020930070.1;XP_020930069.1;XP_020930068.1;XP_020930067.1;XP_020930066.1;XP_020930065.1;XP_020930064.1;XP_020930063.1;XP_013838836.1;XP_001926637.1	XP_020930070.1
XP_020930070.1;XP_020930069.1;XP_020930068.1;XP_020930067.1;XP_020930066.1;XP_020930065.1;XP_020930064.1;XP_020930063.1;XP_013838836.1;XP_001926637.1	XP_020930069.1
XP_020930070.1;XP_020930069.1;XP_020930068.1;XP_020930067.1;XP_020930066.1;XP_020930065.1;XP_020930064.1;XP_020930063.1;XP_013838836.1;XP_001926637.1	XP_020930068.1
XP_020930070.1;XP_020930069.1;XP_020930068.1;XP_020930067.1;XP_020930066.1;XP_020930065.1;XP_020930064.1;XP_020930063.1;XP_013838836.1;XP_001926637.1	XP_020930067.1
XP_020930070.1;XP_020930069.1;XP_020930068.1;XP_020930067.1;XP_020930066.1;XP_020930065.1;XP_020930064.1;XP_020930063.1;XP_013838836.1;XP_001926637.1	XP_020930066.1
XP_001926664.3;XP_005669579.1;XP_020926297.1;XP_020926296.1	XP_001926664.3
XP_001926664.3;XP_005669579.1;XP_020926297.1;XP_020926296.1	XP_005669579.1
XP_001926664.3;XP_005669579.1;XP_020926297.1;XP_020926296.1	XP_020926297.1
XP_001926664.3;XP_005669579.1;XP_020926297.1;XP_020926296.1	XP_020926296.1
XP_001926739.2	XP_001926739.2
XP_001926746.1	XP_001926746.1
XP_001926892.3;XP_020928946.1	XP_001926892.3
XP_001926892.3;XP_020928946.1	XP_020928946.1
XP_001927037.1;XP_013844436.1	XP_001927037.1
XP_001927037.1;XP_013844436.1	XP_013844436.1
XP_020928876.1;XP_020928875.1;XP_001927084.1	XP_020928876.1
XP_020928876.1;XP_020928875.1;XP_001927084.1	XP_020928875.1
XP_020928876.1;XP_020928875.1;XP_001927084.1	XP_001927084.1
XP_020929094.1;XP_001927093.2;XP_020929095.1	XP_020929094.1
XP_020929094.1;XP_001927093.2;XP_020929095.1	XP_001927093.2
XP_020929094.1;XP_001927093.2;XP_020929095.1	XP_020929095.1
XP_005656508.1;XP_001927117.4	XP_005656508.1
XP_005656508.1;XP_001927117.4	XP_001927117.4
XP_005657341.2;XP_020928516.1;XP_001927120.1	XP_005657341.2
XP_005657341.2;XP_020928516.1;XP_001927120.1	XP_020928516.1
XP_005657341.2;XP_020928516.1;XP_001927120.1	XP_001927120.1
XP_001927122.3	XP_001927122.3
XP_001927130.1	XP_001927130.1
XP_005672818.2;XP_001927148.3;XP_020933733.1	XP_005672818.2
XP_005672818.2;XP_001927148.3;XP_020933733.1	XP_001927148.3
XP_005672818.2;XP_001927148.3;XP_020933733.1	XP_020933733.1
XP_001927240.2	XP_001927240.2
XP_020944416.1;XP_020944415.1;XP_005663006.1;XP_001927263.3;NP_001302655.1	XP_020944416.1
XP_020944416.1;XP_020944415.1;XP_005663006.1;XP_001927263.3;NP_001302655.1	XP_020944415.1
XP_020944416.1;XP_020944415.1;XP_005663006.1;XP_001927263.3;NP_001302655.1	XP_005663006.1
XP_020944416.1;XP_020944415.1;XP_005663006.1;XP_001927263.3;NP_001302655.1	XP_001927263.3
XP_020944416.1;XP_020944415.1;XP_005663006.1;XP_001927263.3;NP_001302655.1	NP_001302655.1
XP_001927288.1	XP_001927288.1
XP_001927300.5	XP_001927300.5
XP_001927308.2;XP_020931453.1	XP_001927308.2
XP_001927308.2;XP_020931453.1	XP_020931453.1
XP_020944849.1;XP_003355080.1;XP_001927356.3	XP_020944849.1
XP_020944849.1;XP_003355080.1;XP_001927356.3	XP_003355080.1
XP_020944849.1;XP_003355080.1;XP_001927356.3	XP_001927356.3
XP_001927358.1	XP_001927358.1
XP_001927373.4	XP_001927373.4
XP_001927404.1;XP_005673553.1	XP_001927404.1
XP_001927404.1;XP_005673553.1	XP_005673553.1
XP_001927405.1	XP_001927405.1
XP_001927475.1	XP_001927475.1
XP_001927515.2	XP_001927515.2
XP_005663081.2;XP_001927531.2	XP_005663081.2
XP_005663081.2;XP_001927531.2	XP_001927531.2
XP_005671393.1;XP_001927564.2	XP_005671393.1
XP_005671393.1;XP_001927564.2	XP_001927564.2
XP_001927580.3;XP_020948046.1	XP_001927580.3
XP_001927580.3;XP_020948046.1	XP_020948046.1
XP_001927584.1;XP_013853037.1	XP_001927584.1
XP_001927584.1;XP_013853037.1	XP_013853037.1
XP_001927665.3	XP_001927665.3
XP_020955499.1;XP_001928592.1;XP_013853268.2;XP_013852658.1;XP_020955498.1;XP_020955497.1;XP_013832958.1;XP_013832957.1;XP_003356618.1;XP_001927727.1;XP_005663563.1;XP_003355263.3	XP_020955499.1
XP_020955499.1;XP_001928592.1;XP_013853268.2;XP_013852658.1;XP_020955498.1;XP_020955497.1;XP_013832958.1;XP_013832957.1;XP_003356618.1;XP_001927727.1;XP_005663563.1;XP_003355263.3	XP_013853268.2
XP_020955499.1;XP_001928592.1;XP_013853268.2;XP_013852658.1;XP_020955498.1;XP_020955497.1;XP_013832958.1;XP_013832957.1;XP_003356618.1;XP_001927727.1;XP_005663563.1;XP_003355263.3	XP_013852658.1
XP_020955499.1;XP_001928592.1;XP_013853268.2;XP_013852658.1;XP_020955498.1;XP_020955497.1;XP_013832958.1;XP_013832957.1;XP_003356618.1;XP_001927727.1;XP_005663563.1;XP_003355263.3	XP_020955498.1
XP_020955499.1;XP_001928592.1;XP_013853268.2;XP_013852658.1;XP_020955498.1;XP_020955497.1;XP_013832958.1;XP_013832957.1;XP_003356618.1;XP_001927727.1;XP_005663563.1;XP_003355263.3	XP_020955497.1
XP_001927782.1	XP_001927782.1
XP_001927816.1;XP_005657393.1	XP_001927816.1
XP_001927816.1;XP_005657393.1	XP_005657393.1
XP_001927830.4;XP_020924489.1	XP_001927830.4
XP_001927830.4;XP_020924489.1	XP_020924489.1
XP_020929234.1;XP_001927831.1;XP_001927836.1	XP_020929234.1
XP_020929234.1;XP_001927831.1;XP_001927836.1	XP_001927831.1
XP_020929234.1;XP_001927831.1;XP_001927836.1	XP_001927836.1
XP_005656359.1;XP_001927834.3	XP_005656359.1
XP_005656359.1;XP_001927834.3	XP_001927834.3
XP_001927837.1;XP_005671157.1	XP_001927837.1
XP_001927837.1;XP_005671157.1	XP_005671157.1
XP_001927840.1	XP_001927840.1
XP_005673502.1;XP_003360278.1;XP_005673501.1;XP_020935251.1;XP_005673500.1;XP_020935250.1;XP_003360279.1;XP_013841372.1;XP_001927851.3	XP_005673502.1
XP_005673502.1;XP_003360278.1;XP_005673501.1;XP_020935251.1;XP_005673500.1;XP_020935250.1;XP_003360279.1;XP_013841372.1;XP_001927851.3	XP_005673501.1
XP_005673502.1;XP_003360278.1;XP_005673501.1;XP_020935251.1;XP_005673500.1;XP_020935250.1;XP_003360279.1;XP_013841372.1;XP_001927851.3	XP_020935251.1
XP_005673502.1;XP_003360278.1;XP_005673501.1;XP_020935251.1;XP_005673500.1;XP_020935250.1;XP_003360279.1;XP_013841372.1;XP_001927851.3	XP_020935250.1
XP_005673502.1;XP_003360278.1;XP_005673501.1;XP_020935251.1;XP_005673500.1;XP_020935250.1;XP_003360279.1;XP_013841372.1;XP_001927851.3	XP_013841372.1
XP_005663582.1;XP_001927895.1	XP_005663582.1
XP_005663582.1;XP_001927895.1	XP_001927895.1
XP_001927901.1	XP_001927901.1
XP_020955891.1;XP_005665664.1;XP_001927944.1	XP_020955891.1
XP_020955891.1;XP_005665664.1;XP_001927944.1	XP_005665664.1
XP_020955891.1;XP_005665664.1;XP_001927944.1	XP_001927944.1
XP_001927971.1	XP_001927971.1
XP_001927992.1	XP_001927992.1
XP_001928025.1	XP_001928025.1
XP_020954868.1;XP_001928049.1;XP_020954871.1	XP_020954868.1
XP_020954868.1;XP_001928049.1;XP_020954871.1	XP_001928049.1
XP_020954868.1;XP_001928049.1;XP_020954871.1	XP_020954871.1
XP_005671167.1;XP_001928060.1;XP_005671165.1;XP_001928050.2;XP_005671164.1;XP_020928242.1;XP_020928240.1;XP_020928239.1;XP_020928238.1;XP_020928237.1;XP_020928236.1;XP_020928235.1;XP_020928234.1;XP_020928233.1;XP_005671163.1;XP_020956132.1;XP_020956131.1;NP_999293.1;XP_020956130.1;XP_020956129.1;XP_020956128.1	XP_020956132.1
XP_005671167.1;XP_001928060.1;XP_005671165.1;XP_001928050.2;XP_005671164.1;XP_020928242.1;XP_020928240.1;XP_020928239.1;XP_020928238.1;XP_020928237.1;XP_020928236.1;XP_020928235.1;XP_020928234.1;XP_020928233.1;XP_005671163.1;XP_020956132.1;XP_020956131.1;NP_999293.1;XP_020956130.1;XP_020956129.1;XP_020956128.1	XP_020956131.1
XP_005671167.1;XP_001928060.1;XP_005671165.1;XP_001928050.2;XP_005671164.1;XP_020928242.1;XP_020928240.1;XP_020928239.1;XP_020928238.1;XP_020928237.1;XP_020928236.1;XP_020928235.1;XP_020928234.1;XP_020928233.1;XP_005671163.1;XP_020956132.1;XP_020956131.1;NP_999293.1;XP_020956130.1;XP_020956129.1;XP_020956128.1	XP_020956130.1
XP_005671167.1;XP_001928060.1;XP_005671165.1;XP_001928050.2;XP_005671164.1;XP_020928242.1;XP_020928240.1;XP_020928239.1;XP_020928238.1;XP_020928237.1;XP_020928236.1;XP_020928235.1;XP_020928234.1;XP_020928233.1;XP_005671163.1;XP_020956132.1;XP_020956131.1;NP_999293.1;XP_020956130.1;XP_020956129.1;XP_020956128.1	XP_020956129.1
XP_005671167.1;XP_001928060.1;XP_005671165.1;XP_001928050.2;XP_005671164.1;XP_020928242.1;XP_020928240.1;XP_020928239.1;XP_020928238.1;XP_020928237.1;XP_020928236.1;XP_020928235.1;XP_020928234.1;XP_020928233.1;XP_005671163.1;XP_020956132.1;XP_020956131.1;NP_999293.1;XP_020956130.1;XP_020956129.1;XP_020956128.1	XP_020956128.1
XP_001928080.1;XP_005671576.1	XP_001928080.1
XP_001928080.1;XP_005671576.1	XP_005671576.1
XP_001928105.1	XP_001928105.1
XP_001928111.1	XP_001928111.1
XP_001928120.2	XP_001928120.2
XP_020954724.1;XP_013833541.1;XP_005666216.1;XP_005666215.1;XP_001928183.1	XP_020954724.1
XP_020954724.1;XP_013833541.1;XP_005666216.1;XP_005666215.1;XP_001928183.1	XP_013833541.1
XP_020954724.1;XP_013833541.1;XP_005666216.1;XP_005666215.1;XP_001928183.1	XP_005666216.1
XP_020954724.1;XP_013833541.1;XP_005666216.1;XP_005666215.1;XP_001928183.1	XP_005666215.1
XP_020954724.1;XP_013833541.1;XP_005666216.1;XP_005666215.1;XP_001928183.1	XP_001928183.1
XP_020954725.1;XP_001928209.1;XP_005666212.1;XP_013833544.1	XP_020954725.1
XP_020954725.1;XP_001928209.1;XP_005666212.1;XP_013833544.1	XP_001928209.1
XP_020954725.1;XP_001928209.1;XP_005666212.1;XP_013833544.1	XP_005666212.1
XP_020954725.1;XP_001928209.1;XP_005666212.1;XP_013833544.1	XP_013833544.1
XP_001928233.2	XP_001928233.2
XP_020957466.1;XP_001928284.1	XP_020957466.1
XP_020957466.1;XP_001928284.1	XP_001928284.1
XP_001928370.3	XP_001928370.3
XP_001928374.1	XP_001928374.1
XP_001928377.1	XP_001928377.1
XP_001928380.1	XP_001928380.1
XP_001928514.1	XP_001928514.1
XP_020945107.1;XP_020945106.1;XP_020945105.1;XP_001928558.1	XP_020945107.1
XP_020945107.1;XP_020945106.1;XP_020945105.1;XP_001928558.1	XP_020945106.1
XP_020945107.1;XP_020945106.1;XP_020945105.1;XP_001928558.1	XP_020945105.1
XP_020945107.1;XP_020945106.1;XP_020945105.1;XP_001928558.1	XP_001928558.1
XP_001928597.3;XP_005659235.2	XP_001928597.3
XP_001928597.3;XP_005659235.2	XP_005659235.2
XP_005666478.1;XP_005666477.1;XP_001928604.1	XP_005666478.1
XP_005666478.1;XP_005666477.1;XP_001928604.1	XP_005666477.1
XP_005666478.1;XP_005666477.1;XP_001928604.1	XP_001928604.1
XP_020945161.1;XP_001928678.3;XP_005663209.1;XP_005663206.1	XP_020945161.1
XP_020945161.1;XP_001928678.3;XP_005663209.1;XP_005663206.1	XP_001928678.3
XP_020945161.1;XP_001928678.3;XP_005663209.1;XP_005663206.1	XP_005663209.1
XP_020945161.1;XP_001928678.3;XP_005663209.1;XP_005663206.1	XP_005663206.1
XP_020945693.1;XP_020945692.1;XP_020945691.1;XP_020945690.1;XP_020945689.1;XP_020945688.1;XP_003355289.1;XP_001928684.1;XP_013852718.1;XP_020945694.1	XP_020945693.1
XP_020945693.1;XP_020945692.1;XP_020945691.1;XP_020945690.1;XP_020945689.1;XP_020945688.1;XP_003355289.1;XP_001928684.1;XP_013852718.1;XP_020945694.1	XP_020945692.1
XP_020945693.1;XP_020945692.1;XP_020945691.1;XP_020945690.1;XP_020945689.1;XP_020945688.1;XP_003355289.1;XP_001928684.1;XP_013852718.1;XP_020945694.1	XP_020945691.1
XP_020945693.1;XP_020945692.1;XP_020945691.1;XP_020945690.1;XP_020945689.1;XP_020945688.1;XP_003355289.1;XP_001928684.1;XP_013852718.1;XP_020945694.1	XP_020945690.1
XP_020945693.1;XP_020945692.1;XP_020945691.1;XP_020945690.1;XP_020945689.1;XP_020945688.1;XP_003355289.1;XP_001928684.1;XP_013852718.1;XP_020945694.1	XP_020945694.1
XP_001928729.1	XP_001928729.1
XP_001928742.1;XP_001928732.1	XP_001928742.1
XP_001928742.1;XP_001928732.1	XP_001928732.1
XP_020954882.1;XP_013833657.1;XP_001928758.1	XP_020954882.1
XP_020954882.1;XP_013833657.1;XP_001928758.1	XP_013833657.1
XP_020954882.1;XP_013833657.1;XP_001928758.1	XP_001928758.1
XP_001928763.2	XP_001928763.2
XP_001928782.2	XP_001928782.2
XP_001928802.1;XP_020955054.1;XP_005656404.1;XP_020955053.1	XP_001928802.1
XP_001928802.1;XP_020955054.1;XP_005656404.1;XP_020955053.1	XP_020955054.1
XP_001928802.1;XP_020955054.1;XP_005656404.1;XP_020955053.1	XP_005656404.1
XP_001928802.1;XP_020955054.1;XP_005656404.1;XP_020955053.1	XP_020955053.1
XP_013845695.1;XP_001928827.3	XP_013845695.1
XP_013845695.1;XP_001928827.3	XP_001928827.3
XP_020931174.1;XP_020931173.1;XP_001928829.1	XP_020931174.1
XP_020931174.1;XP_020931173.1;XP_001928829.1	XP_020931173.1
XP_020931174.1;XP_020931173.1;XP_001928829.1	XP_001928829.1
XP_020955330.1;XP_001928857.4	XP_020955330.1
XP_020955330.1;XP_001928857.4	XP_001928857.4
XP_013849376.1;XP_001928876.1	XP_013849376.1
XP_013849376.1;XP_001928876.1	XP_001928876.1
XP_001928879.1	XP_001928879.1
XP_001928883.1	XP_001928883.1
XP_001928898.1	XP_001928898.1
XP_020945233.1;XP_001928904.2;XP_013852328.1	XP_020945233.1
XP_020945233.1;XP_001928904.2;XP_013852328.1	XP_001928904.2
XP_020945233.1;XP_001928904.2;XP_013852328.1	XP_013852328.1
XP_001928912.1	XP_001928912.1
XP_001928925.1	XP_001928925.1
XP_001928927.2	XP_001928927.2
XP_001928957.1;XP_005660567.1;XP_020925552.1;XP_005660568.1;XP_005660566.1;XP_020925545.1;XP_020925523.1;XP_005660569.1;XP_020925563.1;XP_005660565.1;XP_005660563.1;XP_020925522.1	XP_020925552.1
XP_001928957.1;XP_005660567.1;XP_020925552.1;XP_005660568.1;XP_005660566.1;XP_020925545.1;XP_020925523.1;XP_005660569.1;XP_020925563.1;XP_005660565.1;XP_005660563.1;XP_020925522.1	XP_020925545.1
XP_001928957.1;XP_005660567.1;XP_020925552.1;XP_005660568.1;XP_005660566.1;XP_020925545.1;XP_020925523.1;XP_005660569.1;XP_020925563.1;XP_005660565.1;XP_005660563.1;XP_020925522.1	XP_020925523.1
XP_001928957.1;XP_005660567.1;XP_020925552.1;XP_005660568.1;XP_005660566.1;XP_020925545.1;XP_020925523.1;XP_005660569.1;XP_020925563.1;XP_005660565.1;XP_005660563.1;XP_020925522.1	XP_020925563.1
XP_001928957.1;XP_005660567.1;XP_020925552.1;XP_005660568.1;XP_005660566.1;XP_020925545.1;XP_020925523.1;XP_005660569.1;XP_020925563.1;XP_005660565.1;XP_005660563.1;XP_020925522.1	XP_020925522.1
XP_001928988.1	XP_001928988.1
XP_001928995.1	XP_001928995.1
XP_020945135.1;XP_001929021.1;XP_001929017.1	XP_020945135.1
XP_020945135.1;XP_001929021.1;XP_001929017.1	XP_001929021.1
XP_020945135.1;XP_001929021.1;XP_001929017.1	XP_001929017.1
XP_001929028.1	XP_001929028.1
XP_020929278.1;XP_001929050.3	XP_020929278.1
XP_020929278.1;XP_001929050.3	XP_001929050.3
XP_001929053.1	XP_001929053.1
XP_001929062.1;XP_005656504.1;XP_020955282.1	XP_001929062.1
XP_001929062.1;XP_005656504.1;XP_020955282.1	XP_005656504.1
XP_001929062.1;XP_005656504.1;XP_020955282.1	XP_020955282.1
XP_001929064.4;XP_013852534.1	XP_001929064.4
XP_001929064.4;XP_013852534.1	XP_013852534.1
XP_020929556.1;XP_020929555.1;XP_020929554.1;XP_020929553.1;XP_020929551.1;XP_013838718.1;XP_013838717.1;XP_005671058.1;XP_005671057.1;XP_005671056.1;XP_001929089.1	XP_020929556.1
XP_020929556.1;XP_020929555.1;XP_020929554.1;XP_020929553.1;XP_020929551.1;XP_013838718.1;XP_013838717.1;XP_005671058.1;XP_005671057.1;XP_005671056.1;XP_001929089.1	XP_020929555.1
XP_020929556.1;XP_020929555.1;XP_020929554.1;XP_020929553.1;XP_020929551.1;XP_013838718.1;XP_013838717.1;XP_005671058.1;XP_005671057.1;XP_005671056.1;XP_001929089.1	XP_020929554.1
XP_020929556.1;XP_020929555.1;XP_020929554.1;XP_020929553.1;XP_020929551.1;XP_013838718.1;XP_013838717.1;XP_005671058.1;XP_005671057.1;XP_005671056.1;XP_001929089.1	XP_020929553.1
XP_020929556.1;XP_020929555.1;XP_020929554.1;XP_020929553.1;XP_020929551.1;XP_013838718.1;XP_013838717.1;XP_005671058.1;XP_005671057.1;XP_005671056.1;XP_001929089.1	XP_020929551.1
XP_020954784.1;XP_020954783.1;XP_001929104.1;XP_020954766.1	XP_020954784.1
XP_020954784.1;XP_020954783.1;XP_001929104.1;XP_020954766.1	XP_020954783.1
XP_020954784.1;XP_020954783.1;XP_001929104.1;XP_020954766.1	XP_001929104.1
XP_020954784.1;XP_020954783.1;XP_001929104.1;XP_020954766.1	XP_020954766.1
XP_020955157.1;XP_005656444.1;XP_003128705.1;XP_001929109.1	XP_020955157.1
XP_020955157.1;XP_005656444.1;XP_003128705.1;XP_001929109.1	XP_005656444.1
XP_020955157.1;XP_005656444.1;XP_003128705.1;XP_001929109.1	XP_003128705.1
XP_020955157.1;XP_005656444.1;XP_003128705.1;XP_001929109.1	XP_001929109.1
XP_020933471.1;XP_020933470.1;XP_005672925.1;XP_003134451.1;XP_020933468.1;XP_013840755.1;XP_020933467.1;XP_020933466.1;XP_020933465.1;XP_003359995.1;XP_001929139.2;XP_013840752.1;XP_005672922.1;XP_020933464.1;XP_020933463.1;XP_020933462.1;XP_020933461.1;XP_020933460.1;XP_020933459.1;XP_020933458.1	XP_020933471.1
XP_020933471.1;XP_020933470.1;XP_005672925.1;XP_003134451.1;XP_020933468.1;XP_013840755.1;XP_020933467.1;XP_020933466.1;XP_020933465.1;XP_003359995.1;XP_001929139.2;XP_013840752.1;XP_005672922.1;XP_020933464.1;XP_020933463.1;XP_020933462.1;XP_020933461.1;XP_020933460.1;XP_020933459.1;XP_020933458.1	XP_020933470.1
XP_020933471.1;XP_020933470.1;XP_005672925.1;XP_003134451.1;XP_020933468.1;XP_013840755.1;XP_020933467.1;XP_020933466.1;XP_020933465.1;XP_003359995.1;XP_001929139.2;XP_013840752.1;XP_005672922.1;XP_020933464.1;XP_020933463.1;XP_020933462.1;XP_020933461.1;XP_020933460.1;XP_020933459.1;XP_020933458.1	XP_020933468.1
XP_020933471.1;XP_020933470.1;XP_005672925.1;XP_003134451.1;XP_020933468.1;XP_013840755.1;XP_020933467.1;XP_020933466.1;XP_020933465.1;XP_003359995.1;XP_001929139.2;XP_013840752.1;XP_005672922.1;XP_020933464.1;XP_020933463.1;XP_020933462.1;XP_020933461.1;XP_020933460.1;XP_020933459.1;XP_020933458.1	XP_020933467.1
XP_020933471.1;XP_020933470.1;XP_005672925.1;XP_003134451.1;XP_020933468.1;XP_013840755.1;XP_020933467.1;XP_020933466.1;XP_020933465.1;XP_003359995.1;XP_001929139.2;XP_013840752.1;XP_005672922.1;XP_020933464.1;XP_020933463.1;XP_020933462.1;XP_020933461.1;XP_020933460.1;XP_020933459.1;XP_020933458.1	XP_020933466.1
XP_001929141.1	XP_001929141.1
XP_005668474.1;XP_001929173.1	XP_005668474.1
XP_005668474.1;XP_001929173.1	XP_001929173.1
XP_001929181.1	XP_001929181.1
XP_001929185.1	XP_001929185.1
XP_020948512.1;XP_020948511.1;XP_020948510.1;XP_020948509.1;XP_001929203.4;XP_020948508.1;XP_020948507.1;XP_005655682.1;XP_003481667.1;XP_005655681.1;XP_005655680.1	XP_020948512.1
XP_020948512.1;XP_020948511.1;XP_020948510.1;XP_020948509.1;XP_001929203.4;XP_020948508.1;XP_020948507.1;XP_005655682.1;XP_003481667.1;XP_005655681.1;XP_005655680.1	XP_020948511.1
XP_020948512.1;XP_020948511.1;XP_020948510.1;XP_020948509.1;XP_001929203.4;XP_020948508.1;XP_020948507.1;XP_005655682.1;XP_003481667.1;XP_005655681.1;XP_005655680.1	XP_020948510.1
XP_020948512.1;XP_020948511.1;XP_020948510.1;XP_020948509.1;XP_001929203.4;XP_020948508.1;XP_020948507.1;XP_005655682.1;XP_003481667.1;XP_005655681.1;XP_005655680.1	XP_020948509.1
XP_020948512.1;XP_020948511.1;XP_020948510.1;XP_020948509.1;XP_001929203.4;XP_020948508.1;XP_020948507.1;XP_005655682.1;XP_003481667.1;XP_005655681.1;XP_005655680.1	XP_020948508.1
XP_003481475.2;XP_001929212.4	XP_003481475.2
XP_003481475.2;XP_001929212.4	XP_001929212.4
XP_001929258.1;XP_020954981.1;XP_013844518.2	XP_001929258.1
XP_001929258.1;XP_020954981.1;XP_013844518.2	XP_020954981.1
XP_001929258.1;XP_020954981.1;XP_013844518.2	XP_013844518.2
XP_013844520.1;XP_001929285.1	XP_013844520.1
XP_013844520.1;XP_001929285.1	XP_001929285.1
XP_001929313.3	XP_001929313.3
XP_020948766.1;XP_001929315.4;CON__P12035	XP_020948766.1
XP_020948766.1;XP_001929315.4;CON__P12035	XP_001929315.4
XP_020948766.1;XP_001929315.4;CON__P12035	CON__P12035
XP_005663384.1;XP_001929318.1	XP_005663384.1
XP_005663384.1;XP_001929318.1	XP_001929318.1
XP_020930037.1;XP_013838585.1;XP_001929353.3;XP_020930036.1;XP_013838583.1;XP_013838582.1	XP_020930037.1
XP_020930037.1;XP_013838585.1;XP_001929353.3;XP_020930036.1;XP_013838583.1;XP_013838582.1	XP_013838585.1
XP_020930037.1;XP_013838585.1;XP_001929353.3;XP_020930036.1;XP_013838583.1;XP_013838582.1	XP_020930036.1
