Majority protein IDs	protein_ID	Gene Symbol
XP_020930610.1;XP_020930608.1;XP_020930607.1;XP_020930606.1;XP_020930605.1;XP_013839833.1;XP_013839832.1;XP_013839831.1;XP_013839830.1;XP_005672133.2;XP_005672132.2;XP_003133631.5;XP_013839829.1	XP_020930610.1	NIF3L1
XP_020930610.1;XP_020930608.1;XP_020930607.1;XP_020930606.1;XP_020930605.1;XP_013839833.1;XP_013839832.1;XP_013839831.1;XP_013839830.1;XP_005672133.2;XP_005672132.2;XP_003133631.5;XP_013839829.1	XP_020930608.1	NIF3L1
XP_020930610.1;XP_020930608.1;XP_020930607.1;XP_020930606.1;XP_020930605.1;XP_013839833.1;XP_013839832.1;XP_013839831.1;XP_013839830.1;XP_005672133.2;XP_005672132.2;XP_003133631.5;XP_013839829.1	XP_020930607.1	NIF3L1
XP_020930610.1;XP_020930608.1;XP_020930607.1;XP_020930606.1;XP_020930605.1;XP_013839833.1;XP_013839832.1;XP_013839831.1;XP_013839830.1;XP_005672133.2;XP_005672132.2;XP_003133631.5;XP_013839829.1	XP_020930606.1	NIF3L1
XP_020930610.1;XP_020930608.1;XP_020930607.1;XP_020930606.1;XP_020930605.1;XP_013839833.1;XP_013839832.1;XP_013839831.1;XP_013839830.1;XP_005672133.2;XP_005672132.2;XP_003133631.5;XP_013839829.1	XP_020930605.1	NIF3L1
XP_005672173.1;XP_003133651.1	XP_005672173.1	NDUFS1
XP_005672173.1;XP_003133651.1	XP_003133651.1	NDUFS1
XP_003133677.1;XP_013839908.1;XP_013839907.1;XP_020931394.1;XP_013839909.1	XP_003133677.1	RPE
XP_003133677.1;XP_013839908.1;XP_013839907.1;XP_020931394.1;XP_013839909.1	XP_013839908.1	RPE
XP_003133677.1;XP_013839908.1;XP_013839907.1;XP_020931394.1;XP_013839909.1	XP_013839907.1	RPE
XP_003133677.1;XP_013839908.1;XP_013839907.1;XP_020931394.1;XP_013839909.1	XP_020931394.1	RPE
XP_003133677.1;XP_013839908.1;XP_013839907.1;XP_020931394.1;XP_013839909.1	XP_013839909.1	RPE
XP_003133690.2	XP_003133690.2	FN1
XP_020931936.1;XP_013839924.2;XP_003133697.3;XP_005672234.2	XP_020931936.1	XRCC5
XP_020931936.1;XP_013839924.2;XP_003133697.3;XP_005672234.2	XP_013839924.2	XRCC5
XP_020931936.1;XP_013839924.2;XP_003133697.3;XP_005672234.2	XP_003133697.3	XRCC5
XP_020931936.1;XP_013839924.2;XP_003133697.3;XP_005672234.2	XP_005672234.2	XRCC5
XP_020930633.1;XP_020930632.1;XP_003133716.2;XP_005672293.1;XP_005672292.1;XP_020930631.1;XP_020930630.1;XP_020930629.1;XP_013839980.2	XP_020930633.1	DNAJB2
XP_020930633.1;XP_020930632.1;XP_003133716.2;XP_005672293.1;XP_005672292.1;XP_020930631.1;XP_020930630.1;XP_020930629.1;XP_013839980.2	XP_020930632.1	DNAJB2
XP_020930633.1;XP_020930632.1;XP_003133716.2;XP_005672293.1;XP_005672292.1;XP_020930631.1;XP_020930630.1;XP_020930629.1;XP_013839980.2	XP_020930631.1	DNAJB2
XP_020930633.1;XP_020930632.1;XP_003133716.2;XP_005672293.1;XP_005672292.1;XP_020930631.1;XP_020930630.1;XP_020930629.1;XP_013839980.2	XP_020930630.1	DNAJB2
XP_020930633.1;XP_020930632.1;XP_003133716.2;XP_005672293.1;XP_005672292.1;XP_020930631.1;XP_020930630.1;XP_020930629.1;XP_013839980.2	XP_020930629.1	DNAJB2
XP_003133809.1	XP_003133809.1	COPS8
XP_003133833.1	XP_003133833.1	NDUFA10
XP_003133941.2	XP_003133941.2	NUP155
XP_003133963.1	XP_003133963.1	C16H5orf51
XP_005657674.1;XP_005657673.1;XP_005657672.1;XP_003133969.3;XP_003483866.1	XP_005657674.1	PAIP1
XP_005657674.1;XP_005657673.1;XP_005657672.1;XP_003133969.3;XP_003483866.1	XP_005657673.1	PAIP1
XP_005657674.1;XP_005657673.1;XP_005657672.1;XP_003133969.3;XP_003483866.1	XP_005657672.1	PAIP1
XP_005657674.1;XP_005657673.1;XP_005657672.1;XP_003133969.3;XP_003483866.1	XP_003133969.3	PAIP1
XP_005657674.1;XP_005657673.1;XP_005657672.1;XP_003133969.3;XP_003483866.1	XP_003483866.1	PAIP1
XP_003134014.3;XP_020932615.1	XP_003134014.3	SNX18
XP_003134014.3;XP_020932615.1	XP_020932615.1	SNX18
XP_013840227.1;XP_003134018.1;XP_005672503.1	XP_013840227.1	GPX8
XP_013840227.1;XP_003134018.1;XP_005672503.1	XP_003134018.1	GPX8
XP_013840227.1;XP_003134018.1;XP_005672503.1	XP_005672503.1	GPX8
XP_003134070.2	XP_003134070.2	MRPS36
XP_003134080.1;XP_005672590.1	XP_003134080.1	MAP1B
XP_003134080.1;XP_005672590.1	XP_005672590.1	MAP1B
XP_003134100.4;XP_013846102.1	XP_003134100.4	ERGIC1
XP_003134100.4;XP_013846102.1	XP_013846102.1	ERGIC1
XP_003134131.1	XP_003134131.1	NUDCD2
XP_020932763.1;XP_013840376.2;XP_003134191.4;XP_020932762.1;XP_020932761.1;XP_020932764.1	XP_020932763.1	CCDC69
XP_020932763.1;XP_013840376.2;XP_003134191.4;XP_020932762.1;XP_020932761.1;XP_020932764.1	XP_013840376.2	CCDC69
XP_020932763.1;XP_013840376.2;XP_003134191.4;XP_020932762.1;XP_020932761.1;XP_020932764.1	XP_020932762.1	CCDC69
XP_020932763.1;XP_013840376.2;XP_003134191.4;XP_020932762.1;XP_020932761.1;XP_020932764.1	XP_020932761.1	CCDC69
XP_020932763.1;XP_013840376.2;XP_003134191.4;XP_020932762.1;XP_020932761.1;XP_020932764.1	XP_020932764.1	CCDC69
XP_003134215.1	XP_003134215.1	NDUFS6
XP_003134235.3	XP_003134235.3	ASAH1
XP_003134284.1	XP_003134284.1	LOC100511905
XP_013840614.1;XP_003134376.1	XP_013840614.1	VPS16
XP_013840614.1;XP_003134376.1	XP_003134376.1	VPS16
XP_003134381.1;XP_020933444.1	XP_003134381.1	CPXM1
XP_003134381.1;XP_020933444.1	XP_020933444.1	CPXM1
XP_020933851.1;XP_005672877.1;XP_003134407.1	XP_020933851.1	CSNK2A1
XP_020933851.1;XP_005672877.1;XP_003134407.1	XP_005672877.1	CSNK2A1
XP_020933851.1;XP_005672877.1;XP_003134407.1	XP_003134407.1	CSNK2A1
XP_003134450.6	XP_003134450.6	CHMP4B
XP_003134532.1	XP_003134532.1	TP53RK
XP_005657776.1;XP_003134640.2	XP_005657776.1	ZYX
XP_005657776.1;XP_003134640.2	XP_003134640.2	ZYX
XP_020934829.1;XP_020934824.1;XP_003134701.1;XP_005673205.1;XP_005673201.1;XP_005673200.1;XP_020934833.1;XP_020934832.1;XP_020934831.1;XP_020934828.1;XP_005673207.1;XP_020934827.1;XP_020934826.1;XP_020934825.1;XP_005673203.1;XP_005673202.1	XP_020934829.1	CALD1
XP_020934829.1;XP_020934824.1;XP_003134701.1;XP_005673205.1;XP_005673201.1;XP_005673200.1;XP_020934833.1;XP_020934832.1;XP_020934831.1;XP_020934828.1;XP_005673207.1;XP_020934827.1;XP_020934826.1;XP_020934825.1;XP_005673203.1;XP_005673202.1	XP_020934833.1	CALD1
XP_020934829.1;XP_020934824.1;XP_003134701.1;XP_005673205.1;XP_005673201.1;XP_005673200.1;XP_020934833.1;XP_020934832.1;XP_020934831.1;XP_020934828.1;XP_005673207.1;XP_020934827.1;XP_020934826.1;XP_020934825.1;XP_005673203.1;XP_005673202.1	XP_020934832.1	CALD1
XP_020934829.1;XP_020934824.1;XP_003134701.1;XP_005673205.1;XP_005673201.1;XP_005673200.1;XP_020934833.1;XP_020934832.1;XP_020934831.1;XP_020934828.1;XP_005673207.1;XP_020934827.1;XP_020934826.1;XP_020934825.1;XP_005673203.1;XP_005673202.1	XP_020934831.1	CALD1
XP_020934829.1;XP_020934824.1;XP_003134701.1;XP_005673205.1;XP_005673201.1;XP_005673200.1;XP_020934833.1;XP_020934832.1;XP_020934831.1;XP_020934828.1;XP_005673207.1;XP_020934827.1;XP_020934826.1;XP_020934825.1;XP_005673203.1;XP_005673202.1	XP_020934828.1	CALD1
XP_003134717.3	XP_003134717.3	PODXL
XP_003134746.1	XP_003134746.1	ATP6V1F
XP_003134748.1;XP_003134747.1;XP_020934610.1;XP_005657826.1;XP_020934609.1;XP_020934608.1	XP_003134748.1	FLNC
XP_003134748.1;XP_003134747.1;XP_020934610.1;XP_005657826.1;XP_020934609.1;XP_020934608.1	XP_020934610.1	FLNC
XP_003134748.1;XP_003134747.1;XP_020934610.1;XP_005657826.1;XP_020934609.1;XP_020934608.1	XP_005657826.1	FLNC
XP_003134748.1;XP_003134747.1;XP_020934610.1;XP_005657826.1;XP_020934609.1;XP_020934608.1	XP_020934609.1	FLNC
XP_003134748.1;XP_003134747.1;XP_020934610.1;XP_005657826.1;XP_020934609.1;XP_020934608.1	XP_020934608.1	FLNC
XP_003134753.1;XP_020934967.1	XP_003134753.1	CALU
XP_003134753.1;XP_020934967.1	XP_020934967.1	CALU
XP_003134775.1	XP_003134775.1	NDUFA5
XP_003134801.1	XP_003134801.1	LSM8
XP_003134854.3	XP_003134854.3	GARS
XP_003134934.1	XP_003134934.1	AEBP1
XP_020934310.1;XP_003134937.1	XP_020934310.1	BLVRA
XP_020934310.1;XP_003134937.1	XP_003134937.1	BLVRA
XP_020935792.1;XP_013841373.1;XP_005673505.1;XP_005673504.1;XP_003134991.1	XP_020935792.1	PIR
XP_020935792.1;XP_013841373.1;XP_005673505.1;XP_005673504.1;XP_003134991.1	XP_013841373.1	PIR
XP_020935792.1;XP_013841373.1;XP_005673505.1;XP_005673504.1;XP_003134991.1	XP_005673505.1	PIR
XP_020935792.1;XP_013841373.1;XP_005673505.1;XP_005673504.1;XP_003134991.1	XP_005673504.1	PIR
XP_020935792.1;XP_013841373.1;XP_005673505.1;XP_005673504.1;XP_003134991.1	XP_003134991.1	PIR
XP_020936181.1;XP_003135028.3;XP_005658004.1;XP_020936588.1	XP_020936181.1	EIF2S3
XP_020936181.1;XP_003135028.3;XP_005658004.1;XP_020936588.1	XP_003135028.3	EIF2S3
XP_020936181.1;XP_003135028.3;XP_005658004.1;XP_020936588.1	XP_005658004.1	LOC100624149
XP_020936181.1;XP_003135028.3;XP_005658004.1;XP_020936588.1	XP_020936588.1	LOC100624149
XP_003135056.1	XP_003135056.1	DYNLT3
XP_003135101.1;XP_013846341.1	XP_003135101.1	CFP
XP_003135101.1;XP_013846341.1	XP_013846341.1	CFP
XP_003135104.1;XP_020936066.1	XP_003135104.1	NDUFB11
XP_003135104.1;XP_020936066.1	XP_020936066.1	NDUFB11
XP_003135131.2	XP_003135131.2	CCDC22
XP_005673707.1;XP_003135172.3;XP_020936265.1	XP_005673707.1	SMC1A
XP_005673707.1;XP_003135172.3;XP_020936265.1	XP_003135172.3	SMC1A
XP_005673707.1;XP_003135172.3;XP_020936265.1	XP_020936265.1	SMC1A
XP_003135174.1;XP_003135175.1;XP_020936270.1	XP_003135174.1	HSD17B10
XP_003135174.1;XP_003135175.1;XP_020936270.1	XP_003135175.1	HSD17B10
XP_003135174.1;XP_003135175.1;XP_020936270.1	XP_020936270.1	HSD17B10
XP_003135253.4	XP_003135253.4	MAGT1
XP_003135287.1	XP_003135287.1	TIMM8A
XP_003135349.1;XP_003130238.1	XP_003135349.1	PRPS1
XP_003135349.1;XP_003130238.1	XP_003130238.1	PRPS1L1
XP_020936170.1;XP_020936169.1;XP_013846503.1;XP_003135514.1;XP_003135515.1	XP_020936170.1	CD99L2
XP_020936170.1;XP_020936169.1;XP_013846503.1;XP_003135514.1;XP_003135515.1	XP_020936169.1	CD99L2
XP_020936170.1;XP_020936169.1;XP_013846503.1;XP_003135514.1;XP_003135515.1	XP_013846503.1	CD99L2
XP_020936170.1;XP_020936169.1;XP_013846503.1;XP_003135514.1;XP_003135515.1	XP_003135514.1	CD99L2
XP_020936170.1;XP_020936169.1;XP_013846503.1;XP_003135514.1;XP_003135515.1	XP_003135515.1	CD99L2
XP_003135523.1;XP_013841982.2	XP_003135523.1	BGN
XP_003135523.1;XP_013841982.2	XP_013841982.2	BGN
XP_005674061.1;XP_005674060.1;XP_003135528.2;XP_020935331.1	XP_005674061.1	BCAP31
XP_005674061.1;XP_005674060.1;XP_003135528.2;XP_020935331.1	XP_005674060.1	BCAP31
XP_005674061.1;XP_005674060.1;XP_003135528.2;XP_020935331.1	XP_003135528.2	BCAP31
XP_005674061.1;XP_005674060.1;XP_003135528.2;XP_020935331.1	XP_020935331.1	BCAP31
XP_005674066.1;XP_003135530.1	XP_005674066.1	SSR4
XP_005674066.1;XP_003135530.1	XP_003135530.1	SSR4
XP_003135546.1;XP_003135545.1;XP_020935333.1	XP_003135546.1	IDH3G
XP_003135546.1;XP_003135545.1;XP_020935333.1	XP_003135545.1	IDH3G
XP_003135546.1;XP_003135545.1;XP_020935333.1	XP_020935333.1	IDH3G
XP_020936185.1;XP_003135572.1	XP_020936185.1	MPP1
XP_020936185.1;XP_003135572.1	XP_003135572.1	MPP1
XP_003353219.1;XP_020942100.1	XP_003353219.1	SNX9
XP_003353219.1;XP_020942100.1	XP_020942100.1	SNX9
XP_020929171.1;XP_003353391.2	XP_020929171.1	MYO1E
XP_020929171.1;XP_003353391.2	XP_003353391.2	MYO1E
XP_003353540.1	XP_003353540.1	ACTR10
XP_003353634.1	XP_003353634.1	ALDH1B1
XP_003353736.2	XP_003353736.2	AIF1L
XP_003353762.1	XP_003353762.1	IER3IP1
XP_020938452.1;XP_020938451.1;XP_005654715.1;XP_005654713.1;XP_003353801.2;XP_005654712.1;XP_005654711.1	XP_020938452.1	DPP3
XP_020938452.1;XP_020938451.1;XP_005654715.1;XP_005654713.1;XP_003353801.2;XP_005654712.1;XP_005654711.1	XP_020938451.1	DPP3
XP_020938452.1;XP_020938451.1;XP_005654715.1;XP_005654713.1;XP_003353801.2;XP_005654712.1;XP_005654711.1	XP_005654715.1	DPP3
XP_020938452.1;XP_020938451.1;XP_005654715.1;XP_005654713.1;XP_003353801.2;XP_005654712.1;XP_005654711.1	XP_005654713.1	DPP3
XP_020938452.1;XP_020938451.1;XP_005654715.1;XP_005654713.1;XP_003353801.2;XP_005654712.1;XP_005654711.1	XP_005654712.1	DPP3
XP_003353842.1	XP_003353842.1	STIP1
XP_003353857.2	XP_003353857.2	SLC3A2
XP_003353868.2	XP_003353868.2	LRRN4CL
XP_003353912.1;XP_020938703.1	XP_003353912.1	SSRP1
XP_003353912.1;XP_020938703.1	XP_020938703.1	SSRP1
XP_003353925.2	XP_003353925.2	MTCH2
XP_003353965.2	XP_003353965.2	RCN1
XP_003354007.2	XP_003354007.2	CNN2
XP_005661458.2;XP_003354019.2;XP_020939912.1;XP_020939911.1	XP_005661458.2	NDUFS7
XP_005661458.2;XP_003354019.2;XP_020939912.1;XP_020939911.1	XP_003354019.2	NDUFS7
XP_005661458.2;XP_003354019.2;XP_020939912.1;XP_020939911.1	XP_020939912.1	NDUFS7
XP_005661458.2;XP_003354019.2;XP_020939912.1;XP_020939911.1	XP_020939911.1	NDUFS7
XP_003354024.1;XP_003354025.1;XP_020939909.1;XP_003354023.1;XP_005661457.1;XP_005661456.1;XP_005661455.1;XP_020939908.1;XP_005661454.1;XP_005661453.1;XP_005661452.1;XP_005661451.1	XP_020939909.1	GAMT
XP_003354024.1;XP_003354025.1;XP_020939909.1;XP_003354023.1;XP_005661457.1;XP_005661456.1;XP_005661455.1;XP_020939908.1;XP_005661454.1;XP_005661453.1;XP_005661452.1;XP_005661451.1	XP_005661457.1	GAMT
XP_003354024.1;XP_003354025.1;XP_020939909.1;XP_003354023.1;XP_005661457.1;XP_005661456.1;XP_005661455.1;XP_020939908.1;XP_005661454.1;XP_005661453.1;XP_005661452.1;XP_005661451.1	XP_005661456.1	GAMT
XP_003354024.1;XP_003354025.1;XP_020939909.1;XP_003354023.1;XP_005661457.1;XP_005661456.1;XP_005661455.1;XP_020939908.1;XP_005661454.1;XP_005661453.1;XP_005661452.1;XP_005661451.1	XP_005661455.1	GAMT
XP_003354024.1;XP_003354025.1;XP_020939909.1;XP_003354023.1;XP_005661457.1;XP_005661456.1;XP_005661455.1;XP_020939908.1;XP_005661454.1;XP_005661453.1;XP_005661452.1;XP_005661451.1	XP_020939908.1	GAMT
XP_003354038.1	XP_003354038.1	TIMM13
XP_003354039.2	XP_003354039.2	LMNB2
XP_003354050.1;XP_020939748.1	XP_003354050.1	EEF2
XP_003354050.1;XP_020939748.1	XP_020939748.1	EEF2
XP_003354108.1;XP_020939478.1;XP_020939479.1	XP_003354108.1	TMED1
XP_003354108.1;XP_020939478.1;XP_020939479.1	XP_020939478.1	TMED1
XP_003354108.1;XP_020939478.1;XP_020939479.1	XP_020939479.1	TMED1
XP_003354219.1;XP_013850316.1;XP_005661501.1;XP_005661498.1;XP_005661497.1;XP_005661496.1;XP_020939976.1;XP_020939975.1;XP_020956436.1;XP_020956435.1;XP_020956434.1;XP_020956433.1;XP_020956432.1;XP_003357146.1;XP_013834518.2;XP_020956430.1;XP_020956429.1;XP_020956428.1;XP_003129389.1;XP_020956427.1;XP_013834516.2	XP_020956436.1	MAPK10
XP_003354219.1;XP_013850316.1;XP_005661501.1;XP_005661498.1;XP_005661497.1;XP_005661496.1;XP_020939976.1;XP_020939975.1;XP_020956436.1;XP_020956435.1;XP_020956434.1;XP_020956433.1;XP_020956432.1;XP_003357146.1;XP_013834518.2;XP_020956430.1;XP_020956429.1;XP_020956428.1;XP_003129389.1;XP_020956427.1;XP_013834516.2	XP_020956435.1	MAPK10
XP_003354219.1;XP_013850316.1;XP_005661501.1;XP_005661498.1;XP_005661497.1;XP_005661496.1;XP_020939976.1;XP_020939975.1;XP_020956436.1;XP_020956435.1;XP_020956434.1;XP_020956433.1;XP_020956432.1;XP_003357146.1;XP_013834518.2;XP_020956430.1;XP_020956429.1;XP_020956428.1;XP_003129389.1;XP_020956427.1;XP_013834516.2	XP_020956434.1	MAPK10
XP_003354219.1;XP_013850316.1;XP_005661501.1;XP_005661498.1;XP_005661497.1;XP_005661496.1;XP_020939976.1;XP_020939975.1;XP_020956436.1;XP_020956435.1;XP_020956434.1;XP_020956433.1;XP_020956432.1;XP_003357146.1;XP_013834518.2;XP_020956430.1;XP_020956429.1;XP_020956428.1;XP_003129389.1;XP_020956427.1;XP_013834516.2	XP_020956433.1	MAPK10
XP_003354219.1;XP_013850316.1;XP_005661501.1;XP_005661498.1;XP_005661497.1;XP_005661496.1;XP_020939976.1;XP_020939975.1;XP_020956436.1;XP_020956435.1;XP_020956434.1;XP_020956433.1;XP_020956432.1;XP_003357146.1;XP_013834518.2;XP_020956430.1;XP_020956429.1;XP_020956428.1;XP_003129389.1;XP_020956427.1;XP_013834516.2	XP_020956432.1	MAPK10
XP_005661707.1;XP_003354326.1;XP_003354325.1	XP_005661707.1	LOC100524308
XP_005661707.1;XP_003354326.1;XP_003354325.1	XP_003354326.1	LOC100524308
XP_005661707.1;XP_003354326.1;XP_003354325.1	XP_003354325.1	LOC100524308
XP_013850661.1;XP_005661787.1;XP_003354345.1;XP_003354344.1	XP_013850661.1	PURA
XP_013850661.1;XP_005661787.1;XP_003354345.1;XP_003354344.1	XP_005661787.1	PURA
XP_013850661.1;XP_005661787.1;XP_003354345.1;XP_003354344.1	XP_003354345.1	PURA
XP_013850661.1;XP_005661787.1;XP_003354345.1;XP_003354344.1	XP_003354344.1	PURA
XP_020939066.1;XP_020939065.1;XP_020939064.1;XP_003354442.1	XP_020939066.1	BTNL9
XP_020939066.1;XP_020939065.1;XP_020939064.1;XP_003354442.1	XP_020939065.1	BTNL9
XP_020939066.1;XP_020939065.1;XP_020939064.1;XP_003354442.1	XP_020939064.1	BTNL9
XP_020939066.1;XP_020939065.1;XP_020939064.1;XP_003354442.1	XP_003354442.1	BTNL9
XP_003354522.1	XP_003354522.1	PCOLCE
XP_003354782.3;XP_013851438.1	XP_003354782.3	CHMP3
XP_003354782.3;XP_013851438.1	XP_013851438.1	CHMP3
XP_003354791.1	XP_003354791.1	VAMP8
XP_003354827.1	XP_003354827.1	PCYOX1
XP_013851765.2;XP_003354961.3	XP_013851765.2	HS1BP3
XP_013851765.2;XP_003354961.3	XP_003354961.3	HS1BP3
XP_003355118.1	XP_003355118.1	MPC2
XP_020945512.1;XP_020945511.1;XP_020945510.1;XP_020945509.1;XP_020945508.1;XP_020945507.1;XP_003355219.1;XP_020945505.1;XP_013852582.1;XP_020945504.1;XP_013852581.1;XP_013852580.1;XP_013852579.1	XP_020945512.1	RORC
XP_020945512.1;XP_020945511.1;XP_020945510.1;XP_020945509.1;XP_020945508.1;XP_020945507.1;XP_003355219.1;XP_020945505.1;XP_013852582.1;XP_020945504.1;XP_013852581.1;XP_013852580.1;XP_013852579.1	XP_020945511.1	RORC
XP_020945512.1;XP_020945511.1;XP_020945510.1;XP_020945509.1;XP_020945508.1;XP_020945507.1;XP_003355219.1;XP_020945505.1;XP_013852582.1;XP_020945504.1;XP_013852581.1;XP_013852580.1;XP_013852579.1	XP_020945510.1	RORC
XP_020945512.1;XP_020945511.1;XP_020945510.1;XP_020945509.1;XP_020945508.1;XP_020945507.1;XP_003355219.1;XP_020945505.1;XP_013852582.1;XP_020945504.1;XP_013852581.1;XP_013852580.1;XP_013852579.1	XP_020945509.1	RORC
XP_020945512.1;XP_020945511.1;XP_020945510.1;XP_020945509.1;XP_020945508.1;XP_020945507.1;XP_003355219.1;XP_020945505.1;XP_013852582.1;XP_020945504.1;XP_013852581.1;XP_013852580.1;XP_013852579.1	XP_020945508.1	RORC
XP_020955502.1;XP_020954093.1;XP_020945588.1;XP_020939042.1;XP_013852659.1;XP_003355262.2	XP_020955502.1	LOC110261670
XP_020955502.1;XP_020954093.1;XP_020945588.1;XP_020939042.1;XP_013852659.1;XP_003355262.2	XP_020954093.1	LOC110261486
XP_020955502.1;XP_020954093.1;XP_020945588.1;XP_020939042.1;XP_013852659.1;XP_003355262.2	XP_020945588.1	LOC100738744
XP_020955502.1;XP_020954093.1;XP_020945588.1;XP_020939042.1;XP_013852659.1;XP_003355262.2	XP_020939042.1	LOC100515302
XP_020955502.1;XP_020954093.1;XP_020945588.1;XP_020939042.1;XP_013852659.1;XP_003355262.2	XP_013852659.1	LOC102162202
XP_003355292.1	XP_003355292.1	ATP5PB
XP_020945699.1;XP_003355293.2	XP_020945699.1	WDR77
XP_020945699.1;XP_003355293.2	XP_003355293.2	WDR77
XP_003355612.1	XP_003355612.1	STRAP
XP_003355641.2	XP_003355641.2	LPCAT3
XP_003355772.1;XP_020949303.1;XP_020949302.1;XP_020949301.1	XP_003355772.1	APRT
XP_003355772.1;XP_020949303.1;XP_020949302.1;XP_020949301.1	XP_020949303.1	APRT
XP_003355772.1;XP_020949303.1;XP_020949302.1;XP_020949301.1	XP_020949302.1	APRT
XP_003355772.1;XP_020949303.1;XP_020949302.1;XP_020949301.1	XP_020949301.1	APRT
XP_003355849.1	XP_003355849.1	POLR2C
XP_003355850.1	XP_003355850.1	COQ9
XP_020949568.1;XP_003355851.3	XP_020949568.1	CIAPIN1
XP_020949568.1;XP_003355851.3	XP_003355851.3	CIAPIN1
XP_003355931.2;XP_003127168.2;XP_020950003.1;XP_003355932.1;XP_005664653.1;XP_003355933.1	XP_003355931.2	ACTN4
XP_003355931.2;XP_003127168.2;XP_020950003.1;XP_003355932.1;XP_005664653.1;XP_003355933.1	XP_020950003.1	ACTN4
XP_003355931.2;XP_003127168.2;XP_020950003.1;XP_003355932.1;XP_005664653.1;XP_003355933.1	XP_003355932.1	ACTN4
XP_003355931.2;XP_003127168.2;XP_020950003.1;XP_003355932.1;XP_005664653.1;XP_003355933.1	XP_005664653.1	ACTN4
XP_003355931.2;XP_003127168.2;XP_020950003.1;XP_003355932.1;XP_005664653.1;XP_003355933.1	XP_003355933.1	ACTN4
XP_003355965.1	XP_003355965.1	BLVRB
XP_003355972.2	XP_003355972.2	FBL
XP_003355974.3	XP_003355974.3	PRX
XP_003356000.1	XP_003356000.1	PTGIR
XP_013854004.1;XP_003356007.1	XP_013854004.1	EHD2
XP_013854004.1;XP_003356007.1	XP_003356007.1	EHD2
XP_003356046.1	XP_003356046.1	RRAS
XP_020950415.1;XP_020950414.1;XP_003356047.1;XP_003356049.1	XP_020950415.1	PRMT1
XP_020950415.1;XP_020950414.1;XP_003356047.1;XP_003356049.1	XP_020950414.1	PRMT1
XP_020950415.1;XP_020950414.1;XP_003356047.1;XP_003356049.1	XP_003356047.1	PRMT1
XP_020950415.1;XP_020950414.1;XP_003356047.1;XP_003356049.1	XP_003356049.1	PRMT1
XP_003356244.1	XP_003356244.1	PITHD1
XP_003356343.3;XP_020951476.1;XP_013854573.1	XP_003356343.3	YARS
XP_003356343.3;XP_020951476.1;XP_013854573.1	XP_020951476.1	YARS
XP_003356343.3;XP_020951476.1;XP_013854573.1	XP_013854573.1	YARS
XP_003356657.1;XP_005665946.2	XP_003356657.1	CUTA
XP_003356657.1;XP_005665946.2	XP_005665946.2	CUTA
XP_003356696.1	XP_003356696.1	FAH
XP_003356782.2	XP_003356782.2	HSPA2
XP_003356800.1	XP_003356800.1	NEK9
XP_003356881.2	XP_003356881.2	MFSD10
XP_003356895.2	XP_003356895.2	GRPEL1
XP_003356909.2	XP_003356909.2	BST1
XP_003356918.4;XP_020956716.1	XP_003356918.4	LAP3
XP_003356918.4;XP_020956716.1	XP_020956716.1	LAP3
XP_013834053.1;XP_003356947.1	XP_013834053.1	UGDH
XP_013834053.1;XP_003356947.1	XP_003356947.1	UGDH
XP_020957004.1;XP_005666764.1;XP_005666763.1;XP_003356994.1;XP_020957001.1;XP_005666762.1;XP_005666761.1;XP_020956999.1;XP_020956998.1;XP_013834186.1;XP_005666759.1;XP_020957008.1;XP_020957007.1;XP_020957005.1;XP_020957003.1;XP_020957002.1	XP_020957004.1	EXOC1
XP_020957004.1;XP_005666764.1;XP_005666763.1;XP_003356994.1;XP_020957001.1;XP_005666762.1;XP_005666761.1;XP_020956999.1;XP_020956998.1;XP_013834186.1;XP_005666759.1;XP_020957008.1;XP_020957007.1;XP_020957005.1;XP_020957003.1;XP_020957002.1	XP_020957008.1	EXOC1
XP_020957004.1;XP_005666764.1;XP_005666763.1;XP_003356994.1;XP_020957001.1;XP_005666762.1;XP_005666761.1;XP_020956999.1;XP_020956998.1;XP_013834186.1;XP_005666759.1;XP_020957008.1;XP_020957007.1;XP_020957005.1;XP_020957003.1;XP_020957002.1	XP_020957007.1	EXOC1
XP_020957004.1;XP_005666764.1;XP_005666763.1;XP_003356994.1;XP_020957001.1;XP_005666762.1;XP_005666761.1;XP_020956999.1;XP_020956998.1;XP_013834186.1;XP_005666759.1;XP_020957008.1;XP_020957007.1;XP_020957005.1;XP_020957003.1;XP_020957002.1	XP_020957005.1	EXOC1
XP_020957004.1;XP_005666764.1;XP_005666763.1;XP_003356994.1;XP_020957001.1;XP_005666762.1;XP_005666761.1;XP_020956999.1;XP_020956998.1;XP_013834186.1;XP_005666759.1;XP_020957008.1;XP_020957007.1;XP_020957005.1;XP_020957003.1;XP_020957002.1	XP_020957003.1	EXOC1
XP_003357009.1	XP_003357009.1	JCHAIN
XP_003357019.1	XP_003357019.1	GC
XP_005666796.1;XP_003357020.1;XP_005666795.1	XP_005666796.1	AFM
XP_005666796.1;XP_003357020.1;XP_005666795.1	XP_003357020.1	AFM
XP_005666796.1;XP_003357020.1;XP_005666795.1	XP_005666795.1	AFM
XP_003357065.1	XP_003357065.1	SCOC
XP_005667074.1;XP_003357135.1;XP_003357134.1	XP_005667074.1	NUDT9
XP_005667074.1;XP_003357135.1;XP_003357134.1	XP_003357135.1	NUDT9
