name	condition	replicate	intensity
RAB5A	m_wt	736	25.095992841321667
RAP2B	m_wt	736	24.734278788615516
RARRES2	m_wt	736	NA
XP_020941207	m_wt	736	NA
RHOG	m_wt	736	27.161733147208427
SERPING1	m_wt	736	26.917524323931683
TES	m_wt	736	NA
NP_001116676	m_wt	736	NA
VAPB	m_wt	736	26.85162362413114
BCKDHB	m_wt	736	24.876052240472927
NP_001116693	m_wt	736	NA
PON2	m_wt	736	NA
SLC2A4	m_wt	736	25.43198823203385
F11R	m_wt	736	24.982679604897207
SLC16A1	m_wt	736	25.67882168359113
CYBRD1	m_wt	736	NA
PRPF19	m_wt	736	NA
FITM2	m_wt	736	25.763015166619248
ISG15	m_wt	736	23.518813530721825
FLOT1	m_wt	736	26.165820784292933
CRABP1	m_wt	736	NA
TPM2	m_wt	736	28.813477858371364
CKM	m_wt	736	NA
AIF1	m_wt	736	NA
XP_020932965	m_wt	736	24.105495501323983
RPS20	m_wt	736	27.067739443991425
RPL23	m_wt	736	25.63677240397504
SERPINC1	m_wt	736	29.016376957128536
SAT2	m_wt	736	NA
RTN4	m_wt	736	NA
CD209	m_wt	736	NA
UQCR10	m_wt	736	26.76065701332906
TFAM	m_wt	736	24.620923647188842
ADAM10	m_wt	736	NA
THBD	m_wt	736	NA
ADSL	m_wt	736	24.90136373641873
LPIN1	m_wt	736	23.799959022378626
ATIC	m_wt	736	25.62809105110173
STIM1	m_wt	736	NA
IFI30	m_wt	736	NA
ACTR3	m_wt	736	27.526937955550654
ACTR2	m_wt	736	26.535224583826174
ARPC1B	m_wt	736	26.322287837737445
ARPC5	m_wt	736	NA
SELENOP	m_wt	736	NA
CYP3A39	m_wt	736	NA
APPL1	m_wt	736	25.394111739854594
PGAM2	m_wt	736	NA
USP7	m_wt	736	NA
PRPF3	m_wt	736	NA
RPS3A	m_wt	736	27.101493570766486
RPS16	m_wt	736	27.31181315980236
ERO1A	m_wt	736	26.804520420454278
GRB2	m_wt	736	24.879515196919282
ERP44	m_wt	736	26.315963807712244
NCK1	m_wt	736	NA
VPS26B	m_wt	736	NA
CRK	m_wt	736	25.49323074553461
SLC9A3R2	m_wt	736	23.927143536466083
NP_001132943	m_wt	736	NA
PSMA6	m_wt	736	27.558591674878233
RPL26L1	m_wt	736	25.2518366102004
DKC1	m_wt	736	NA
C1QTNF2	m_wt	736	NA
MAT2B	m_wt	736	24.832242200182698
RAD18	m_wt	736	NA
LGALS13	m_wt	736	NA
AGPAT3	m_wt	736	NA
CPNE1	m_wt	736	NA
XP_020935074	m_wt	736	NA
MAP2K1	m_wt	736	NA
MGLL	m_wt	736	28.36761377807808
SLC9A3R1	m_wt	736	NA
STK26	m_wt	736	NA
SGCA	m_wt	736	NA
SGCD	m_wt	736	25.527519720512032
SGCE	m_wt	736	NA
HBB	m_wt	736	37.586512211717555
HBB.1	m_wt	736	37.586512211717555
NDUFB8	m_wt	736	NA
XP_020944406	m_wt	736	27.221771774450243
PSMB3	m_wt	736	26.4935208987117
PSMB6	m_wt	736	26.748296259451177
GPAT4	m_wt	736	NA
ARF5	m_wt	736	NA
RBP7	m_wt	736	NA
XP_005665847	m_wt	736	NA
BAG6	m_wt	736	NA
DYNLT1	m_wt	736	NA
XP_020948917	m_wt	736	NA
CLTC	m_wt	736	30.36431923825934
THY1	m_wt	736	28.204291654115675
FSCN1	m_wt	736	28.326802781548054
CYB5B	m_wt	736	28.47881016004983
PDK1	m_wt	736	23.14021067833934
NQO1	m_wt	736	26.26692319119067
KRT8	m_wt	736	28.22435031855202
XP_020938111	m_wt	736	NA
PTMA	m_wt	736	NA
PRMT5	m_wt	736	NA
S100A12	m_wt	736	26.105935036729186
XP_020946634	m_wt	736	27.839901139106598
MAL2	m_wt	736	27.862897054217967
PCK2	m_wt	736	NA
OTUB1	m_wt	736	25.965321921213995
CDH1	m_wt	736	NA
PROCR	m_wt	736	NA
IGFBP7	m_wt	736	NA
MYL6	m_wt	736	29.862069380115337
ANXA1	m_wt	736	30.17973334862487
ALOX5AP	m_wt	736	NA
F9	m_wt	736	28.26387370929158
AMBP	m_wt	736	26.797116272609802
IDH2	m_wt	736	26.460546135921216
PPP2R2A	m_wt	736	25.91358100593757
SLC25A3	m_wt	736	27.882620102612783
ACTA2	m_wt	736	33.209320905017975
ACAN	m_wt	736	NA
